ResponseID,Q,Q_group,A
r00000,Q34,G1,N/A
r00000,Q42,G1,Others
r00000,Q20,G3,No
r00000,Q39,G1,No
r00000,Q5,G1,N/A
r00000,Q22,G4,Yes
r00000,Q17,G2,No
r00000,Q24,,No
r00000,Q29,G5,Maybe
r00000,Q21,G2,Yes
r00000,Q36,,N/A
r00000,Q30,G3,No
r00000,Q7,G1,Others
r00000,Q2,G1,Others
r00000,Q15,G2,Others
r00000,Q12,G6,Others
r00000,Q26,G2,Others
r00000,Q28,G6,Others
r00000,Q18,G4,Others
r00000,Q10,G4,Others
r00000,Q9,G1,No
r00000,Q6,G1,N/A
r00000,Q8,G3,N/A
r00000,Q40,G1,No
r00000,Q11,G1,N/A
r00000,Q41,G2,Maybe
r00000,Q37,,No
r00000,Q3,G5,Maybe
r00000,Q1,G2,Maybe
r00000,Q16,,N/A
r00000,Q35,G6,No
r00000,Q25,,Maybe
r00000,Q4,,Others
r00000,Q23,G2,Maybe
r00000,Q19,G2,Others
r00000,Q31,G2,Maybe
r00000,Q33,G3,No
r00000,Q14,G5,Maybe
r00000,Q32,G3,No
r00000,Q38,G3,Others
r00000,Q13,G4,N/A
r00000,Q27,G4,N/A
r00001,Q34,G1,No
r00001,Q42,G1,Yes
r00001,Q20,G3,Yes
r00001,Q39,G1,Yes
r00001,Q5,G1,Yes
r00001,Q22,G4,Maybe
r00001,Q17,G2,No
r00001,Q24,,No
r00001,Q29,G5,Maybe
r00001,Q21,G2,Yes
r00001,Q36,,Yes
r00001,Q30,G3,No
r00001,Q7,G1,Others
r00001,Q2,G1,Others
r00001,Q15,G2,Others
r00001,Q12,G6,Others
r00001,Q26,G2,Others
r00001,Q28,G6,Others
r00001,Q18,G4,Others
r00001,Q10,G4,Others
r00001,Q9,G1,Yes
r00001,Q6,G1,Maybe
r00001,Q8,G3,No
r00001,Q40,G1,Maybe
r00001,Q11,G1,Yes
r00001,Q41,G2,No
r00001,Q37,,No
r00001,Q3,G5,No
r00001,Q1,G2,Maybe
r00001,Q16,,Maybe
r00001,Q35,G6,No
r00001,Q25,,Maybe
r00001,Q4,,Others
r00001,Q23,G2,No
r00001,Q19,G2,Others
r00001,Q31,G2,No
r00001,Q33,G3,No
r00001,Q14,G5,Maybe
r00001,Q32,G3,No
r00001,Q38,G3,Others
r00001,Q13,G4,Rare
r00001,Q27,G4,Maybe
r00002,Q34,G1,No
r00002,Q42,G1,Others
r00002,Q20,G3,No
r00002,Q39,G1,No
r00002,Q5,G1,N/A
r00002,Q22,G4,Neutral
r00002,Q17,G2,Maybe
r00002,Q24,,No
r00002,Q29,G5,Maybe
r00002,Q21,G2,Maybe
r00002,Q36,,N/A
r00002,Q30,G3,No
r00002,Q7,G1,Others
r00002,Q2,G1,Others
r00002,Q15,G2,Others
r00002,Q12,G6,Others
r00002,Q26,G2,Others
r00002,Q28,G6,Others
r00002,Q18,G4,Others
r00002,Q10,G4,Others
r00002,Q9,G1,No
r00002,Q6,G1,N/A
r00002,Q8,G3,No
r00002,Q40,G1,Maybe
r00002,Q11,G1,N/A
r00002,Q41,G2,N/A
r00002,Q37,,Maybe
r00002,Q3,G5,Maybe
r00002,Q1,G2,N/A
r00002,Q16,,N/A
r00002,Q35,G6,Maybe
r00002,Q25,,Yes
r00002,Q4,,Others
r00002,Q23,G2,Yes
r00002,Q19,G2,Others
r00002,Q31,G2,Maybe
r00002,Q33,G3,Maybe
r00002,Q14,G5,Maybe
r00002,Q32,G3,Maybe
r00002,Q38,G3,Yes
r00002,Q13,G4,N/A
r00002,Q27,G4,N/A
r00003,Q34,G1,Others
r00003,Q42,G1,Others
r00003,Q20,G3,Others
r00003,Q39,G1,Others
r00003,Q5,G1,Others
r00003,Q22,G4,Others
r00003,Q17,G2,Others
r00003,Q24,,Others
r00003,Q29,G5,Others
r00003,Q21,G2,Others
r00003,Q36,,Others
r00003,Q30,G3,Others
r00003,Q7,G1,Yes
r00003,Q2,G1,Yes
r00003,Q15,G2,Maybe
r00003,Q12,G6,N/A
r00003,Q26,G2,Maybe
r00003,Q28,G6,N/A
r00003,Q18,G4,Yes
r00003,Q10,G4,Rare
r00003,Q9,G1,Maybe
r00003,Q6,G1,N/A
r00003,Q8,G3,No
r00003,Q40,G1,No
r00003,Q11,G1,N/A
r00003,Q41,G2,Maybe
r00003,Q37,,Maybe
r00003,Q3,G5,Maybe
r00003,Q1,G2,Maybe
r00003,Q16,,N/A
r00003,Q35,G6,Maybe
r00003,Q25,,Yes
r00003,Q4,,Others
r00003,Q23,G2,Maybe
r00003,Q19,G2,Others
r00003,Q31,G2,Yes
r00003,Q33,G3,Maybe
r00003,Q14,G5,Neutral
r00003,Q32,G3,No
r00003,Q38,G3,Others
r00003,Q13,G4,Maybe
r00003,Q27,G4,Maybe
r00004,Q34,G1,Yes
r00004,Q42,G1,Yes
r00004,Q20,G3,No
r00004,Q39,G1,No
r00004,Q5,G1,No
r00004,Q22,G4,Neutral
r00004,Q17,G2,Yes
r00004,Q24,,Maybe
r00004,Q29,G5,Maybe
r00004,Q21,G2,No
r00004,Q36,,No
r00004,Q30,G3,No
r00004,Q7,G1,Others
r00004,Q2,G1,Others
r00004,Q15,G2,Others
r00004,Q12,G6,Others
r00004,Q26,G2,Others
r00004,Q28,G6,Others
r00004,Q18,G4,Others
r00004,Q10,G4,Others
r00004,Q9,G1,N/A
r00004,Q6,G1,N/A
r00004,Q8,G3,Maybe
r00004,Q40,G1,No
r00004,Q11,G1,N/A
r00004,Q41,G2,Maybe
r00004,Q37,,Maybe
r00004,Q3,G5,No
r00004,Q1,G2,Maybe
r00004,Q16,,Maybe
r00004,Q35,G6,Maybe
r00004,Q25,,Maybe
r00004,Q4,,Others
r00004,Q23,G2,No
r00004,Q19,G2,N/A
r00004,Q31,G2,Yes
r00004,Q33,G3,Maybe
r00004,Q14,G5,Maybe
r00004,Q32,G3,Yes
r00004,Q38,G3,Yes
r00004,Q13,G4,Maybe
r00004,Q27,G4,Maybe
r00005,Q34,G1,Yes
r00005,Q42,G1,N/A
r00005,Q20,G3,No
r00005,Q39,G1,Yes
r00005,Q5,G1,Yes
r00005,Q22,G4,Maybe
r00005,Q17,G2,Yes
r00005,Q24,,Yes
r00005,Q29,G5,Maybe
r00005,Q21,G2,Yes
r00005,Q36,,No
r00005,Q30,G3,Yes
