ResponseID	Which of the following best describes your work position
r00000	Back-end Developer
r00001	Back-end Developer
r00001	Front-end Developer
r00002	Back-end Developer
r00003	Supervisor/Team Lead
r00004	Executive Leadership
r00004	Supervisor/Team Lead
r00004	Dev Evangelist/Advocate
r00004	DevOps/SysAdmin
r00004	Support
r00004	Back-end Developer
r00004	Front-end Developer
r00005	DevOps/SysAdmin
r00005	Support
r00005	Back-end Developer
r00005	Front-end Developer
r00005	Designer
r00006	Back-end Developer
r00007	Dev Evangelist/Advocate
r00007	Back-end Developer
r00008	Support
r00008	Back-end Developer
r00008	One-person shop
r00009	One-person shop
r00009	Front-end Developer
r00009	Back-end Developer
r00010	Front-end Developer
r00011	Executive Leadership
r00012	Supervisor/Team Lead
r00012	Dev Evangelist/Advocate
r00012	Back-end Developer
r00012	Front-end Developer
r00013	DevOps/SysAdmin
r00013	Back-end Developer
r00013	Front-end Developer
r00014	Designer
r00015	Other
r00015	Executive Leadership
r00016	Front-end Developer
r00017	Back-end Developer
r00018	One-person shop
r00019	Back-end Developer
r00019	Front-end Developer
r00020	Back-end Developer
r00021	Other
r00022	Back-end Developer
r00023	Back-end Developer
r00024	Supervisor/Team Lead
r00025	Supervisor/Team Lead
r00025	Support
r00025	Back-end Developer
r00026	Supervisor/Team Lead
r00026	DevOps/SysAdmin
r00026	Back-end Developer
r00027	Back-end Developer
r00028	Other
r00029	Other
r00029	Supervisor/Team Lead
r00029	Support
r00029	Back-end Developer
r00029	Designer
r00030	Back-end Developer
r00031	Supervisor/Team Lead
r00031	Back-end Developer
r00032	One-person shop
r00032	Front-end Developer
r00032	Back-end Developer
r00032	Dev Evangelist/Advocate
r00032	Other
r00033	Back-end Developer
r00033	Front-end Developer
r00034	Supervisor/Team Lead
r00034	DevOps/SysAdmin
r00034	Support
r00034	Back-end Developer
r00035	Executive Leadership
r00035	Front-end Developer
r00035	Back-end Developer
r00035	Sales
r00035	Supervisor/Team Lead
r00036	Back-end Developer
r00037	Front-end Developer
r00038	Back-end Developer
r00039	Support
r00039	Other
r00040	One-person shop
r00040	Back-end Developer
r00040	DevOps/SysAdmin
r00041	Other
r00042	Supervisor/Team Lead
r00042	Other
r00043	DevOps/SysAdmin
r00043	Back-end Developer
r00044	Back-end Developer
r00045	Supervisor/Team Lead
r00045	Back-end Developer
r00045	Front-end Developer
r00046	Other
r00047	DevOps/SysAdmin
r00047	Back-end Developer
r00047	Front-end Developer
r00048	Other
r00049	Supervisor/Team Lead
r00050	Executive Leadership
r00051	Front-end Developer
r00051	Back-end Developer
r00051	Executive Leadership
r00052	Supervisor/Team Lead
r00052	Back-end Developer
r00052	Front-end Developer
r00052	One-person shop
r00053	Supervisor/Team Lead
r00053	DevOps/SysAdmin
r00054	DevOps/SysAdmin
r00054	Back-end Developer
r00055	Other
r00056	Back-end Developer
r00056	Front-end Developer
r00057	Supervisor/Team Lead
r00058	Back-end Developer
r00058	Front-end Developer
r00059	Back-end Developer
r00060	Back-end Developer
r00061	DevOps/SysAdmin
r00062	Supervisor/Team Lead
r00063	Front-end Developer
r00063	Back-end Developer
r00064	Other
r00065	Supervisor/Team Lead
r00065	Back-end Developer
r00065	One-person shop
r00066	Supervisor/Team Lead
r00067	Back-end Developer
r00068	Front-end Developer
r00069	Back-end Developer
r00070	Back-end Developer
r00071	Support
r00072	Executive Leadership
r00072	Supervisor/Team Lead
r00072	Back-end Developer
r00073	Front-end Developer
r00073	Back-end Developer
r00074	Supervisor/Team Lead
r00074	DevOps/SysAdmin
r00074	Back-end Developer
r00075	Front-end Developer
r00075	Back-end Developer
r00075	DevOps/SysAdmin
r00076	Back-end Developer
r00077	Front-end Developer
r00078	Front-end Developer
r00079	Supervisor/Team Lead
r00079	Dev Evangelist/Advocate
r00079	Back-end Developer
r00080	Back-end Developer
r00080	DevOps/SysAdmin
r00081	Back-end Developer
r00082	Back-end Developer
r00083	Dev Evangelist/Advocate
r00083	Back-end Developer
r00084	One-person shop
r00084	Back-end Developer
r00085	DevOps/SysAdmin
r00085	Back-end Developer
r00085	Front-end Developer
r00086	Back-end Developer
r00086	Supervisor/Team Lead
r00087	Back-end Developer
r00088	Front-end Developer
r00088	Back-end Developer
r00088	Sales
r00088	Executive Leadership
r00089	Back-end Developer
r00090	Other
r00091	Back-end Developer
r00092	Supervisor/Team Lead
r00093	Front-end Developer
r00094	Front-end Developer
r00095	Back-end Developer
r00096	Front-end Developer
r00097	Back-end Developer
r00097	DevOps/SysAdmin
r00098	One-person shop
r00098	Back-end Developer
r00098	Sales
r00098	Support
r00098	DevOps/SysAdmin
r00098	Dev Evangelist/Advocate
r00098	Supervisor/Team Lead
r00098	Executive Leadership
r00098	Other
r00099	Back-end Developer
r00100	DevOps/SysAdmin
r00101	Back-end Developer
r00102	Back-end Developer
r00103	Designer
r00104	Back-end Developer
r00104	DevOps/SysAdmin
r00104	Dev Evangelist/Advocate
r00104	Supervisor/Team Lead
r00105	One-person shop
